prio,Section,English Title,Hebrew Title,Transliterated Title,Completion,Title Variants,Categories,Text Structure,Ready for upload?,Length,Lengths,Order,Genre/Tags,Availability Online,Author,One line bio,Brief description,Talmud Page Numbers
5,3.4.1,Hafla'ah,ספר הפלאה,Sefer Hafla'ah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Chashukei Hemed,חשוקי חמד,Chashukei Chemed,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,HaMakneh,המקנה,HaMakneh,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Kappot Temarim,כפות תמרים,Kappot Temarim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Keren Orah,קרן אורה,Keren Orah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Kovets He'arot,קובץ הארות,Kovets He'arot,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Mevo HaTalmud,מבוא התלמוד,Mevo HaTalmud,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud,,Maharats Chayot,,,
5,3.4.1,Mikdash David,מקדש דוד,Mikdash David,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Nachalat David,נחלת דוד,Nachalat David,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Od Yosef Chai,עוד יוסף חי,Od Yosef Chai,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,R. Asher MiLunel,רבינו אשר מלונל,Rabbeinu Asher MiLunel,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Avraham Av Beit Din,רבי אברהם בית דין,Rabbi Avraham Beit Din,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Baruch HaSefaradi,רבי ברוך הספרדי,Rabbi Barukh HaSefaradi,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Eliezer of Toques,רבי אליעזר מתוק,Rabbi Eliezer MiToques,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Judah of Berena,רבי יהודה מברנה,Rabbi Yehudah MeBerena,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Judah of Paris,רבי יהודה מפריז,Rabbi Yehudah MiParis,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Mendel Klausner,רבי מנדל קלאוסנר,Rabbi Mendel Klausner,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,R. Yitschak MiCarcassonne,רבי יצחק מקרקשאונה,Rabbi Yitschak MiCarcassonne,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,Ritz Giat,"רי""ץ גיהת",Ritz Ghiyyat,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,Rivavan,"ריבב""ן",Rivavan,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,Sefer Haagudah,ספר האגודה,Sefer HaAgudah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,Sefer HaNer* (Berakhot),ספר הנר,Sefer HaNer,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,,,,,,
5,3.4.1,Sefer HaYashar LeRabbeinu Tam,ספר הישר לרבינו תם,Sefer HaYashar LeRabbeinu Tam,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,Seridei Eish - Chiddushim,שרידי אש - חידושים,Seridei Esh - Chiddushim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Shabbat Shel Mi,שבת של מי,Shabbat shel Mi,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Tiferet Ya'akov,תפארת יעקב,Tiferet Ya'akov,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Torat Gittin,תורת גיטין,Torat Gittin,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Torat Hayyim,תורת חיים,Torat Chayyim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Tosefet Yom HaKippurim,תוספות יום הכפורים,Tosefot Yom HaKippurim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Tosefot Yeshanim,תוספות ישנים,Tosefot Yeshanim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Early Commentator),,,,,
5,3.4.1,Tosefot Yeshanim,תוספות ישנים,Tosefot Yeshanim,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,,,,,,
5,3.4.1,Turei Even,טורי אבן,Turei Even,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Yom Teru'ah,יום תרועה,Yom Teru'ah,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Zera Avraham,זרע אברהם,Zera Avraham,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
5,3.4.1,Zera Yitzchak,זרע יצחק,Zera Yitschak,,,"Commentary, Talmud, Talmud Bavli / Babylonian Talmud",,,,,,Commentary on Talmud (Late Commentator),,,,,
1,3.4.2,Mareh Panim,מראה פנים,Mareh Panim,,Marei Panim,"Commentary, Talmud, Jerusalem Talmud","Massekhet, daf, dibbur hamatchil",,,,,Commentary on Yerushalmi,,Rabbi Moses Margolies,Rabbi Moses Margolies (d. 1780) was a Lithuanian rabbi who wrote an important commentary to help others study the Jerusalem Talmud.,,
1,3.4.2,Penei Moshe,פני משה,Penei Moshe,,Pnei Moshe,"Commentary, Talmud, Jerusalem Talmud","Massekhet, daf, dibbur hamatchil",,,,,Commentary on Yerushalmi,,Rabbi Moses Margolies,Rabbi Moses Margolies (d. 1780) was a Lithuanian rabbi who wrote an important commentary to help others study the Jerusalem Talmud.,Penei Moshe is a commentary on the Jerusalem Talmud which allows readers to better understand the often difficult text.,
2,3.4.2,Shayarei Korban,שיירי קרבן,Shayarei Korban,,,"Commentary, Talmud, Jerusalem Talmud","Massekhet, daf, dibbur hamatchil",,,,,Commentary on Yerushalmi,,Rabbi David Frankel,,,
2,3.4.2,Korban HaEdah,קרבן העדה,Korban HaEdah,,"Korban HaEidah, Korban HaEydah","Commentary, Talmud, Jerusalem Talmud","Massekhet, daf, dibbur hamatchil",,"covers nashim, moed, and nezikin",,,Commentary on Yerushalmi,,Rabbi David Frankel,Rabbi David Frankel (d. 1762) was a German rabbi who placed great emphasis on the study of the Jerusalem Talmud.,"Korban HaEdah is a commentary on section of the Jerusalem Talmud, designed to help readers understand the often difficult language of the text.",
2,3.4.2,Ridbaz,"רידב""ז",Ridbaz,,"Chiddushei Ridbaz, Ridba""z","Commentary, Talmud, Jerusalem Talmud",,,,,,Commentary on Yerushalmi,,Rabbi Jacob David Wilovsky,"Rabbi Jacob David Wilovsky (d.1913) was a Russian teacher, scholar, and Talmudist who devoted extensive study to the Jerusalem Talmud. ",,
2,3.4.2,Tosofot Ri”d,"תוספות רי""ד",Tosafot Rid,,"Tosfot Rid, Tosafot Ri""d","Commentary, Talmud, Jerusalem Talmud",,,,,,Commentary on Yerushalmi,,,,,
3,3.4.2,Beur HaGra,,Beur HaGra,,,"Commentary, Talmud, Jerusalem Talmud",,,,Zeraim Only,,Commentary on Yerushalmi,,,,,
3,3.4.2,Eleazar Azkari ,,,,,"Commentary, Talmud, Jerusalem Talmud",,,,Brachot and Beitza,,Commentary on Yerushalmi,,,,,
4,3.4.2,Commentary of Elijah of Fulda,פירוש של אליהו בן יהודא ליב פולדא ,Perush shel Eliyahu ben Yehuda Leib m'Fulda,,,"Commentary, Talmud, Jerusalem Talmud",,,,,,Commentary on Yerushalmi,,Rabbi Eliyahu Ben Yehuda Leib of Fulda,,"Actually two works, but usually printed together",
4,3.4.2,Yerushalmi Hemeforash,,,,,"Commentary, Talmud, Jerusalem Talmud",,,,,,Commentary on Yerushalmi,"Worth investigating, even if it isn't PD",Rav Shlomo Goren,,,
4,3.4.2,Kenievsky on the Yerushalmi,,,,,"Commentary, Talmud, Jerusalem Talmud",,,,,,Commentary on Yerushalmi,"Not PD, but on hebrewbooks so worth investigating",Chaim Kanievsky,,,
