													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.  If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.  Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Mishnah Horayot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Horayot (Decisions) belongs to the fourth order, Nezikin (The Order of Damages) and discusses the communal sin-offering brought for major errors by the Sanhedrin. It has three chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Horayot,M Horayot,Mishna Horayot	משנה הוריות		Mishnah,Seder Nezikin
Mishnah Zevachim	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Zevahim (Sacrifices) belongs to the fifth order, Kodshim (Holy things) and discusses the procedure of animal and bird offerings. It has fourteen chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Zevachim,M. Zevachim,M Zevachim	משנה זבחים		Mishnah,Seder Kodashim
Mishnah Menachot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Menahot (Meal Offerings) belongs to the fifth order, Kodshim (Holy things) and discusses the various grain-based offerings in the Temple. It has thirteen chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Menachot,Mishna Menachot,M. Menachot	משנה מנחות		Mishnah,Seder Kodashim
Mishnah Chullin	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Hulin (Ordinary/Mundane Things) belongs to the fifth order, Nezikin (The Order of Damages) and discusses the laws of slaughter and meat consumption (i.e. animals used for every-day as opposed to sacred reasons). It has twelve chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Chullin,Mishna Chullin,M Chullin	משנה חולין		Mishnah,Seder Kodashim
Mishnah Bekhorot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Bekhorot (First Born) belongs to the fifth order, Kodshim (Holy things) and discusses the sanctification and redemption of animal and human firstborns. It has nine chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Bekhorot,M. Bekhorot,Mishna Bekhorot	משנה בכורות		Mishnah,Seder Kodashim
Mishnah Arakhin	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Arakhin (Dedications) belongs to the fifth order, Kodshim (Holy things) and discusses a person dedicating their value to the Temple or dedicating a field. It has nine chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Arakhin,M Arakhin,M. Arakhin	משנה ערכין		Mishnah,Seder Kodashim
Mishnah Temurah	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Temurah (Substitution) belongs to the fifth order, Nezikin (The Order of Damages) and discusses the laws of what happens if an animal is substituted for an animal dedicated for a sacrifice. It has seven chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Temurah,M Temurah,Mishna Temurah	משנה תמורה		Mishnah,Seder Kodashim
Mishnah Keritot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Keritot (Excisions) belongs to the fifth order, Kodshim (Holy things) and discusses the commandments for which the penalty is karet "excision") as well as the sacrifices associated with their (mostly unwitting) transgression. It has six chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Keritot,Mishna Keritot,M. Keritot,M Keritut,Mishna Keritut,M. Keritut,Mishnah Keritut	משנה כריתות		Mishnah,Seder Kodashim
Mishnah Meilah	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Meilah (Sacrilege) belongs to the fifth order, Nezikin (The Order of Damages) and discusses the laws of restitution for the misappropriation of Temple property. It has six chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Meilah,M. Meilah,Mishna Meilah	משנה מעילה		Mishnah,Seder Kodashim
Mishnah Tamid	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Tamid (Always) belongs to the fifth order, Kodshim (Holy things)  and discusses the procedure of the Tamid (daily sacrifice). It has six or seven chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Tamid,M. Tamid,M Tamid	משנה תמיד		Mishnah,Seder Kodashim
Mishnah Middot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Middot (Measurements) belongs to the fifth order, Kodshim (Holy things) and discusses the measurements of the second Temple. It has four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Middot,Mishna Middot,M. Middot	משנה מדות	מדות	Mishnah,Seder Kodashim
Mishnah Kinnim	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Kinnim (Nests) belongs to the fifth order, Kodshim (Holy things) and discusses the complex laws for situations where the mixing of bird-offerings occurred. It has three chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Kinnim,Mishna Kinnim,M Kinnim	משנה קינים	קינים	Mishnah,Seder Kodashim
Mishnah Kelim	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Kelim (Vessels) belongs to the sixth order, Tahorot (Purities) and discusses a large array of various utensils and how they fare in terms of purity. It has thirty chapters. It is the largest order of the Mishnah.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Kelim,M Kelim,Mishna Kelim	משנה כלים	כלים	Mishnah,Seder Tahorot
Mishnah Oholot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Ohalot (Tents) belongs to the sixth order, Tahorot (Purities) and discusses with the laws of the Zaraath (an unknown skin disease). It has eighteen chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Oholot,Mishna Oholot,M Oholot	משנה אהלות	אהלות	Mishnah,Seder Tahorot
Mishnah Negaim	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Negaim (Plagues) belongs to the sixth order, Tahorot (Purities) and discusses the uncleanness from a corpse and its peculiar property of defling people or objects either by the latter "tenting" over the corpse, or by the corpse "tenting" over them, or by the presence of both corpse and person or object under the same roof or tent. It has fourteen chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Negaim,M. Negaim,M Negaim	משנה נגעים	נגעים	Mishnah,Seder Tahorot
Mishnah Parah	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Parah (Cow) belongs to the sixth order, Tahorot (Purities) and discusses the laws of the Red Heifer (Para Adumah). It has twelve chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Parah,Mishna Parah,M. Parah	משנה פרה	פרה	Mishnah,Seder Tahorot
Mishnah Tahorot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Tahorot (Purities) belongs to the sixth order, Tahorot (Purities) and discusses the miscellaneous laws of purity, especially the actual mechanics of contracting impurity and the laws of the impurity of food. It has ten chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Tahorot,M Tahorot,Mishna Tahorot	משנה טהרות	טהרות	Mishnah,Seder Tahorot
Mishnah Mikvaot	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Mikavot (Pools) belongs to the sixth order, Tahorot (Purities) and discusses the laws of the mikveh (pool) used for cleansing the body from impurities. It has four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Mikvaot,M Mikvaot,Mishna Mikvaot	משנה מקואות	מקואות	Mishnah,Seder Tahorot
Mishnah Niddah	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Niddah (Separation) belongs to the sixth order, Tahorot (Purities) and discusses a Niddah, a woman either during her menstrual cycle or shortly after having given birth. It has ten chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Niddah,M Niddah,M. Niddah	משנה נדה		Mishnah,Seder Tahorot
Mishnah Makhshirin	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Makhshirm (Preliminary acts of preparation) belongs to the sixth order, Tahorot (Purities) and discusses liquids that make food susceptible to tumah (impurity). It has six chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Makhshirin,Mishna Makhshirin,M Makhshirin	משנה מכשירין	מכשירין	Mishnah,Seder Tahorot
Mishnah Zavim	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Zavim (Seminal Emissions) belongs to the sixth order, Tahorot (Purities) and discusses the laws of a person who has ejaculated. It has five chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Zavim,Mishna Zavim,M Zavim	משנה זבים	זבים	Mishnah,Seder Tahorot
Mishnah Tevul Yom	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Tevul Yom (Immersed [on that] day) belongs to the sixth order, Tahorot (Purities) and discusses a special kind of impurity where the person immerses in a mikveh (ritual bath) but is still unclean for the rest of the day. It has four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M Tevul Yom,M. Tevul Yom,Mishna Tevul Yom	משנה טבול יום	טבול יום	Mishnah,Seder Tahorot
Mishnah Yadayim	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Yadayim (Hands) belongs to the sixth order, Tahorot (Purities) and discusses Rabbinic impurity related to the hands. It has four chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	Mishna Yadayim,M Yadayim,M. Yadayim	משנה ידים	ידים	Mishnah,Seder Tahorot
Mishnah Oktzin	N/A	The Mishnah is the first major written redaction of the Jewish oral traditions known as the Oral Torah. The Mishnah was redacted by Rabbi Yehudah Ha-Nasi before his death around 217 CE, in a time when, according to the Talmud, the persecution of the Jews and the passage of time raised the possibility that the details of the oral traditions of the Pharisees from the Second Temple period (536 BCE – 70 CE) would be forgotten. The majority of the Mishnah is written in Mishnaic Hebrew, while some parts are Aramaic. The Mishnah consists of six orders (sedarim, singular seder), each containing 7–12 tractates (masekhtot, singular masekhet), numbering 63 in total and further subdivided into chapters and paragraphs or verses. The word Mishnah can also indicate a single paragraph or a verse of the work itself, i.e. the smallest unit of structure in the Mishnah. For this reason the whole work is sometimes called by the plural, Mishnayot. Ukzim (Stems) belongs to the sixth order, Tahorot (Purities) and discusses the impurity of the stalks of fruit. It has three chapters.		210	20	Talmudic Israel	1492	Naples	Tannaim	M. Oktzin,Mishna Oktzin,M Oktzin	משנה עוקצים	עוקצים	Mishnah,Seder Tahorot
Berakhot	N/A	The Babylonian Talmud ("instruction, learning") is a central text of Rabbinic Judaism. Babylon refers to the geographical location of its composition and not to the empire. The Talmud has two components: the Mishnah (c. 200 CE) and the Gemara (c. 500 CE). The latter is a discussion of the Mishnah. The entire Talmud consists of 63 tractates, further subdivided into chapters and folios. Each folio is double sided and starts on page 2a. It is written in Tannaitic Hebrew and Aramaic, and contains the teachings and opinions of rabbis on a variety of subjects, including Halakha (law), Jewish ethics, philosophy, customs, history, lore and many other topics. The Talmud is the basis for all codes of Jewish law, and is widely quoted in rabbinic literature. It is also traditionally referred to as Shas, a Hebrew abbreviation of shisha sedarim, (six orders). Berakhoth (Stems) belongs to the first order, Zeraim (Seeds) and discusses the impurity of the stalks of fruit. It has three chapters.		500	50	Talmudic Babylon	1483	Soncino	Amoraim	Berachoth,Berachot,Berakhoth,Brachot,Tractate Berakhot,Berachos,Masekhet Berakhot,Talmud Berakhot	ברכות		Talmud,Bavli,Seder Zeraim
Shabbat	N/A	The Babylonian Talmud ("instruction, learning") is a central text of Rabbinic Judaism. Babylon refers to the geographical location of its composition and not to the empire. The Talmud has two components: the Mishnah (c. 200 CE) and the Gemara (c. 500 CE). The latter is a discussion of the Mishnah. The entire Talmud consists of 63 tractates, further subdivided into chapters and folios. Each folio is double sided and starts on page 2a. It is written in Tannaitic Hebrew and Aramaic, and contains the teachings and opinions of rabbis on a variety of subjects, including Halakha (law), Jewish ethics, philosophy, customs, history, lore and many other topics. The Talmud is the basis for all codes of Jewish law, and is widely quoted in rabbinic literature. It is also traditionally referred to as Shas, a Hebrew abbreviation of shisha sedarim, (six orders). Shabbat (Sabbath) belongs to the second order, Moed (Festivals) and discusses the 39 prohibitions of "work" on the Shabbat. It has twenty four chapters.		500	50	Talmudic Babylon	1523	Venice	Amoraim	Masekhet Shabbat,Shabbos,Shabbath,Talmud Shabbat,Tractate Shabbat	שבת		Talmud,Bavli,Seder Moed
Eruvin	N/A	The Babylonian Talmud ("instruction, learning") is a central text of Rabbinic Judaism. Babylon refers to the geographical location of its composition and not to the empire. The Talmud has two components: the Mishnah (c. 200 CE) and the Gemara (c. 500 CE). The latter is a discussion of the Mishnah. The entire Talmud consists of 63 tractates, further subdivided into chapters and folios. Each folio is double sided and starts on page 2a. It is written in Tannaitic Hebrew and Aramaic, and contains the teachings and opinions of rabbis on a variety of subjects, including Halakha (law), Jewish ethics, philosophy, customs, history, lore and many other topics. The Talmud is the basis for all codes of Jewish law, and is widely quoted in rabbinic literature. It is also traditionally referred to as Shas, a Hebrew abbreviation of shisha sedarim, (six orders). Eruvim (Mixtures) belongs to the second order, Moed (Festivals) and discusses the Eruv or Sabbath-bound - a category of constructions/delineations that alter the domains of the Sabbath for carrying and travel. It has ten chapters.		500	50	Talmudic Babylon	1523	Venice	Amoraim	Talmud Eruvin,Masekhet Eruvin,Tractate Eruvin	עירובין	ערובין	Talmud,Bavli,Seder Moed
